[0.223s][info][jfr,startup] Started recording 1. No limit specified, using maxsize=250MB as default.
[0.223s][info][jfr,startup] 
[0.223s][info][jfr,startup] Use jcmd 447471 JFR.dump name=1 to copy recording data to file.
13:58:00.810 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4] REGISTERED
13:58:07.485 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ COMPLETE
13:58:07.486 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x265e2464, L:/127.0.0.1:8080 - R:/127.0.0.1:60256]
13:58:07.486 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0xca99986c, L:/127.0.0.1:8080 - R:/127.0.0.1:60254]
13:58:07.486 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0xa62742ee, L:/127.0.0.1:8080 - R:/127.0.0.1:60274]
13:58:07.486 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x25907e26, L:/127.0.0.1:8080 - R:/127.0.0.1:60276]
13:58:07.486 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x79470552, L:/127.0.0.1:8080 - R:/127.0.0.1:60280]
13:58:07.486 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x9be9fa21, L:/127.0.0.1:8080 - R:/127.0.0.1:60294]
13:58:07.486 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0xee21b8b7, L:/127.0.0.1:8080 - R:/127.0.0.1:60296]
13:58:07.486 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x6dd9b9f2, L:/127.0.0.1:8080 - R:/127.0.0.1:60318]
13:58:07.486 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x7bd65dc8, L:/127.0.0.1:8080 - R:/127.0.0.1:60320]
13:58:07.486 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x2dc2c3dc, L:/127.0.0.1:8080 - R:/127.0.0.1:60336]
13:58:07.486 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0xb5dd6683, L:/127.0.0.1:8080 - R:/127.0.0.1:60350]
13:58:07.486 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x86c52d46, L:/127.0.0.1:8080 - R:/127.0.0.1:60366]
13:58:07.487 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x4d9a8b4a, L:/127.0.0.1:8080 - R:/127.0.0.1:60376]
13:58:07.487 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x763b1a9b, L:/127.0.0.1:8080 - R:/127.0.0.1:60382]
13:58:07.487 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x83b5b47b, L:/127.0.0.1:8080 - R:/127.0.0.1:60412]
13:58:07.487 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x70c826bc, L:/127.0.0.1:8080 - R:/127.0.0.1:60400]
13:58:07.487 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ COMPLETE
13:58:07.507 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x978b385f, L:/127.0.0.1:8080 - R:/127.0.0.1:60398]
13:58:07.507 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0xe42ee312, L:/127.0.0.1:8080 - R:/127.0.0.1:60422]
13:58:07.507 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x1d94549f, L:/127.0.0.1:8080 - R:/127.0.0.1:60434]
13:58:07.507 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x0e26ef79, L:/127.0.0.1:8080 - R:/127.0.0.1:60432]
13:58:07.507 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x259735db, L:/127.0.0.1:8080 - R:/127.0.0.1:60450]
13:58:07.507 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x01570f6f, L:/127.0.0.1:8080 - R:/127.0.0.1:60456]
13:58:07.507 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x9ec3173e, L:/127.0.0.1:8080 - R:/127.0.0.1:60470]
13:58:07.507 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0xa954c3ff, L:/127.0.0.1:8080 - R:/127.0.0.1:60486]
13:58:07.507 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x28ad3604, L:/127.0.0.1:8080 - R:/127.0.0.1:60488]
13:58:07.507 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0xff8efaa6, L:/127.0.0.1:8080 - R:/127.0.0.1:60504]
13:58:07.507 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0xfbd240e6, L:/127.0.0.1:8080 - R:/127.0.0.1:60516]
13:58:07.507 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x826b0f90, L:/127.0.0.1:8080 - R:/127.0.0.1:60518]
13:58:07.507 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0xec56df87, L:/127.0.0.1:8080 - R:/127.0.0.1:60530]
13:58:07.508 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x20f0d0f5, L:/127.0.0.1:8080 - R:/127.0.0.1:60532]
13:58:07.508 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x95407cd6, L:/127.0.0.1:8080 - R:/127.0.0.1:60550]
13:58:07.508 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x777d4e14, L:/127.0.0.1:8080 - R:/127.0.0.1:60560]
13:58:07.508 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ COMPLETE
