[0.218s][info][jfr,startup] Started recording 1. No limit specified, using maxsize=250MB as default.
[0.218s][info][jfr,startup] 
[0.218s][info][jfr,startup] Use jcmd 456313 JFR.dump name=1 to copy recording data to file.
14:08:58.052 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0] REGISTERED
14:09:01.698 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0xa24b8842, L:/127.0.0.1:8080 - R:/127.0.0.1:52788]
14:09:01.700 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x2ffcfae0, L:/127.0.0.1:8080 - R:/127.0.0.1:52802]
14:09:01.714 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ COMPLETE
14:09:01.715 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x6cbf7d8f, L:/127.0.0.1:8080 - R:/127.0.0.1:52804]
14:09:01.715 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x627734e9, L:/127.0.0.1:8080 - R:/127.0.0.1:52816]
14:09:01.715 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x2d45d20a, L:/127.0.0.1:8080 - R:/127.0.0.1:52818]
14:09:01.715 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x90aebb99, L:/127.0.0.1:8080 - R:/127.0.0.1:52830]
14:09:01.715 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0xa203b6a9, L:/127.0.0.1:8080 - R:/127.0.0.1:52836]
14:09:01.715 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x5d8703d4, L:/127.0.0.1:8080 - R:/127.0.0.1:52844]
14:09:01.715 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x8cb38433, L:/127.0.0.1:8080 - R:/127.0.0.1:52850]
14:09:01.715 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x337b1c2b, L:/127.0.0.1:8080 - R:/127.0.0.1:52852]
14:09:01.715 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x4486cc4d, L:/127.0.0.1:8080 - R:/127.0.0.1:52860]
14:09:01.715 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x6e9f977b, L:/127.0.0.1:8080 - R:/127.0.0.1:52872]
14:09:01.715 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0xc863233e, L:/127.0.0.1:8080 - R:/127.0.0.1:52884]
14:09:01.715 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x507fe01a, L:/127.0.0.1:8080 - R:/127.0.0.1:52892]
14:09:01.715 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x61186916, L:/127.0.0.1:8080 - R:/127.0.0.1:52902]
14:09:01.715 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x3ac80f2b, L:/127.0.0.1:8080 - R:/127.0.0.1:52904]
14:09:01.715 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x97c0a394, L:/127.0.0.1:8080 - R:/127.0.0.1:52916]
14:09:01.715 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x14041e1e, L:/127.0.0.1:8080 - R:/127.0.0.1:52918]
14:09:01.715 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ COMPLETE
14:09:01.768 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0xcf289cbc, L:/127.0.0.1:8080 - R:/127.0.0.1:52934]
14:09:01.768 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x390ca742, L:/127.0.0.1:8080 - R:/127.0.0.1:52946]
14:09:01.768 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x6ef344b2, L:/127.0.0.1:8080 - R:/127.0.0.1:52952]
14:09:01.768 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0xcb0e0bbe, L:/127.0.0.1:8080 - R:/127.0.0.1:52950]
14:09:01.768 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x94daa7f3, L:/127.0.0.1:8080 - R:/127.0.0.1:52970]
14:09:01.768 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0xe1f94fef, L:/127.0.0.1:8080 - R:/127.0.0.1:52966]
14:09:01.768 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x93ac28b7, L:/127.0.0.1:8080 - R:/127.0.0.1:52986]
14:09:01.768 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x5bc0f8db, L:/127.0.0.1:8080 - R:/127.0.0.1:52990]
14:09:01.768 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x8de28b73, L:/127.0.0.1:8080 - R:/127.0.0.1:53002]
14:09:01.769 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x6eb01c1d, L:/127.0.0.1:8080 - R:/127.0.0.1:53000]
14:09:01.769 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x5446431c, L:/127.0.0.1:8080 - R:/127.0.0.1:52998]
14:09:01.769 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x6ba08c0c, L:/127.0.0.1:8080 - R:/127.0.0.1:53022]
14:09:01.770 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0xde862b60, L:/127.0.0.1:8080 - R:/127.0.0.1:53038]
14:09:01.770 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x502b835d, L:/127.0.0.1:8080 - R:/127.0.0.1:53046]
14:09:01.770 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0xd5e352d2, L:/127.0.0.1:8080 - R:/127.0.0.1:53056]
14:09:01.770 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0xe2532861, L:/127.0.0.1:8080 - R:/127.0.0.1:53060]
14:09:01.771 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ COMPLETE
